"Hex","Dec","InvDec","Symbol","Description"
"80070113","-2147024621","2147942675","ERROR_EAS_DIDNT_FIT","The extended attributes did not fit in the buffer."
"80070114","-2147024620","2147942676","ERROR_EA_FILE_CORRUPT","The extended attribute file on the mounted file system is corrupt."
"80070115","-2147024619","2147942677","ERROR_EA_TABLE_FULL","The extended attribute table file is full."
"80070116","-2147024618","2147942678","ERROR_INVALID_EA_HANDLE","The specified extended attribute handle is invalid."
"8007011A","-2147024614","2147942682","ERROR_EAS_NOT_SUPPORTED","The mounted file system does not support extended attributes."
"80070120","-2147024608","2147942688","ERROR_NOT_OWNER","Attempt to release mutex not owned by caller."
"8007012A","-2147024598","2147942698","ERROR_TOO_MANY_POSTS","Too many posts were made to a semaphore."
"8007012B","-2147024597","2147942699","ERROR_PARTIAL_COPY","Only part of a Read/WriteProcessMemory request was completed."
"8007012C","-2147024596","2147942700","ERROR_OPLOCK_NOT_GRANTED",""
"8007012D","-2147024595","2147942701","ERROR_INVALID_OPLOCK_PROTOCOL",""
"8007012E","-2147024594","2147942702","ERROR_DISK_TOO_FRAGMENTED",""
"8007012F","-2147024593","2147942703","ERROR_DELETE_PENDING",""
"80070130","-2147024592","2147942704","ERROR_INCOMPATIBLE_WITH_GLOBAL_SHORT_NAME_REGISTRY_SETTING",""
"80070131","-2147024591","2147942705","ERROR_SHORT_NAMES_NOT_ENABLED_ON_VOLUME",""
"80070132","-2147024590","2147942706","ERROR_SECURITY_STREAM_IS_INCONSISTENT",""
"80070133","-2147024589","2147942707","ERROR_INVALID_LOCK_RANGE",""
"80070134","-2147024588","2147942708","ERROR_IMAGE_SUBSYSTEM_NOT_PRESENT",""
"80070135","-2147024587","2147942709","ERROR_NOTIFICATION_GUID_ALREADY_DEFINED",""
"80070136","-2147024586","2147942710","ERROR_INVALID_EXCEPTION_HANDLER",""
"80070137","-2147024585","2147942711","ERROR_DUPLICATE_PRIVILEGES",""
"80070138","-2147024584","2147942712","ERROR_NO_RANGES_PROCESSED",""
"80070139","-2147024583","2147942713","ERROR_NOT_ALLOWED_ON_SYSTEM_FILE",""
"8007013A","-2147024582","2147942714","ERROR_DISK_RESOURCES_EXHAUSTED",""
"8007013B","-2147024581","2147942715","ERROR_INVALID_TOKEN",""
"8007013C","-2147024580","2147942716","ERROR_DEVICE_FEATURE_NOT_SUPPORTED",""
"8007013D","-2147024579","2147942717","ERROR_MR_MID_NOT_FOUND","The system cannot find message for message number 0x%1 in message file for %2."
"8007013E","-2147024578","2147942718","ERROR_SCOPE_NOT_FOUND",""
"8007013F","-2147024577","2147942719","ERROR_UNDEFINED_SCOPE",""
"80070140","-2147024576","2147942720","ERROR_INVALID_CAP",""
"80070141","-2147024575","2147942721","ERROR_DEVICE_UNREACHABLE",""
"80070142","-2147024574","2147942722","ERROR_DEVICE_NO_RESOURCES",""
"80070143","-2147024573","2147942723","ERROR_DATA_CHECKSUM_ERROR",""
"80070144","-2147024572","2147942724","ERROR_INTERMIXED_KERNEL_EA_OPERATION",""
"80070146","-2147024570","2147942726","ERROR_FILE_LEVEL_TRIM_NOT_SUPPORTED",""
"80070147","-2147024569","2147942727","ERROR_OFFSET_ALIGNMENT_VIOLATION",""
"80070148","-2147024568","2147942728","ERROR_INVALID_FIELD_IN_PARAMETER_LIST",""
"80070149","-2147024567","2147942729","ERROR_OPERATION_IN_PROGRESS",""
"8007014A","-2147024566","2147942730","ERROR_BAD_DEVICE_PATH",""
"8007014B","-2147024565","2147942731","ERROR_TOO_MANY_DESCRIPTORS",""
"8007014C","-2147024564","2147942732","ERROR_SCRUB_DATA_DISABLED",""
"8007014D","-2147024563","2147942733","ERROR_NOT_REDUNDANT_STORAGE",""
"8007014E","-2147024562","2147942734","ERROR_RESIDENT_FILE_NOT_SUPPORTED",""
"8007014F","-2147024561","2147942735","ERROR_COMPRESSED_FILE_NOT_SUPPORTED",""
"80070150","-2147024560","2147942736","ERROR_DIRECTORY_NOT_SUPPORTED",""
"80070151","-2147024559","2147942737","ERROR_NOT_READ_FROM_COPY",""
"80070152","-2147024558","2147942738","ERROR_FT_WRITE_FAILURE",""
"80070153","-2147024557","2147942739","ERROR_FT_DI_SCAN_REQUIRED",""
"80070154","-2147024556","2147942740","ERROR_INVALID_KERNEL_INFO_VERSION",""
"80070155","-2147024555","2147942741","ERROR_INVALID_PEP_INFO_VERSION",""
"80070156","-2147024554","2147942742","ERROR_OBJECT_NOT_EXTERNALLY_BACKED",""
"80070157","-2147024553","2147942743","ERROR_EXTERNAL_BACKING_PROVIDER_UNKNOWN",""
"80070158","-2147024552","2147942744","ERROR_COMPRESSION_NOT_BENEFICIAL",""
"80070159","-2147024551","2147942745","ERROR_STORAGE_TOPOLOGY_ID_MISMATCH",""
"8007015A","-2147024550","2147942746","ERROR_BLOCKED_BY_PARENTAL_CONTROLS",""
"8007015B","-2147024549","2147942747","ERROR_BLOCK_TOO_MANY_REFERENCES",""
"8007015C","-2147024548","2147942748","ERROR_MARKED_TO_DISALLOW_WRITES",""
"8007015D","-2147024547","2147942749","ERROR_ENCLAVE_FAILURE",""
"8007015E","-2147024546","2147942750","ERROR_FAIL_NOACTION_REBOOT",""
"8007015F","-2147024545","2147942751","ERROR_FAIL_SHUTDOWN",""
"80070160","-2147024544","2147942752","ERROR_FAIL_RESTART",""
"80070161","-2147024543","2147942753","ERROR_MAX_SESSIONS_REACHED",""
"80070162","-2147024542","2147942754","ERROR_NETWORK_ACCESS_DENIED_EDP",""
"80070163","-2147024541","2147942755","ERROR_DEVICE_HINT_NAME_BUFFER_TOO_SMALL",""
"80070164","-2147024540","2147942756","ERROR_EDP_POLICY_DENIES_OPERATION",""
"80070165","-2147024539","2147942757","ERROR_EDP_DPL_POLICY_CANT_BE_SATISFIED",""
"80070166","-2147024538","2147942758","ERROR_CLOUD_FILE_PROVIDER_UNKNOWN",""
"80070167","-2147024537","2147942759","ERROR_DEVICE_IN_MAINTENANCE",""
"80070168","-2147024536","2147942760","ERROR_NOT_SUPPORTED_ON_DAX",""
"80070169","-2147024535","2147942761","ERROR_DAX_MAPPING_EXISTS",""
"8007016A","-2147024534","2147942762","ERROR_CLOUD_FILE_PROVIDER_NOT_RUNNING",""
"8007016B","-2147024533","2147942763","ERROR_CLOUD_FILE_METADATA_CORRUPT",""
"8007016C","-2147024532","2147942764","ERROR_CLOUD_FILE_METADATA_TOO_LARGE",""
"8007016D","-2147024531","2147942765","ERROR_CLOUD_FILE_PROPERTY_BLOB_TOO_LARGE",""
"8007016E","-2147024530","2147942766","ERROR_CLOUD_FILE_PROPERTY_BLOB_CHECKSUM_MISMATCH",""
"8007016F","-2147024529","2147942767","ERROR_CHILD_PROCESS_BLOCKED",""
"80070170","-2147024528","2147942768","ERROR_STORAGE_LOST_DATA_PERSISTENCE",""
"80070171","-2147024527","2147942769","ERROR_FILE_SYSTEM_VIRTUALIZATION_UNAVAILABLE",""
"80070172","-2147024526","2147942770","ERROR_FILE_SYSTEM_VIRTUALIZATION_METADATA_CORRUPT",""
"80070173","-2147024525","2147942771","ERROR_FILE_SYSTEM_VIRTUALIZATION_BUSY",""
"80070174","-2147024524","2147942772","ERROR_FILE_SYSTEM_VIRTUALIZATION_PROVIDER_UNKNOWN",""
"80070175","-2147024523","2147942773","ERROR_GDI_HANDLE_LEAK",""
"80070176","-2147024522","2147942774","ERROR_CLOUD_FILE_TOO_MANY_PROPERTY_BLOBS",""
"80070177","-2147024521","2147942775","ERROR_CLOUD_FILE_METADATA_VERSION_NOT_SUPPORTED",""
"80070178","-2147024520","2147942776","ERROR_NOT_A_CLOUD_FILE",""
"80070179","-2147024519","2147942777","ERROR_CLOUD_FILE_NOT_IN_SYNC",""
"80070190","-2147024496","2147942800","ERROR_THREAD_MODE_ALREADY_BACKGROUND",""
"80070191","-2147024495","2147942801","ERROR_THREAD_MODE_NOT_BACKGROUND",""
"80070192","-2147024494","2147942802","ERROR_PROCESS_MODE_ALREADY_BACKGROUND",""
"80070193","-2147024493","2147942803","ERROR_PROCESS_MODE_NOT_BACKGROUND",""
"800701C2","-2147024446","2147942850","ERROR_CAPAUTHZ_NOT_DEVUNLOCKED",""
"800701C3","-2147024445","2147942851","ERROR_CAPAUTHZ_CHANGE_TYPE",""
"800701C4","-2147024444","2147942852","ERROR_CAPAUTHZ_NOT_PROVISIONED",""
"800701C5","-2147024443","2147942853","ERROR_CAPAUTHZ_NOT_AUTHORIZED",""
"800701C6","-2147024442","2147942854","ERROR_CAPAUTHZ_NO_POLICY",""
"800701C7","-2147024441","2147942855","ERROR_CAPAUTHZ_DB_CORRUPTED",""
"800701E0","-2147024416","2147942880","ERROR_PNP_QUERY_REMOVE_DEVICE_TIMEOUT",""
"800701E1","-2147024415","2147942881","ERROR_PNP_QUERY_REMOVE_RELATED_DEVICE_TIMEOUT",""
"800701E2","-2147024414","2147942882","ERROR_PNP_QUERY_REMOVE_UNRELATED_DEVICE_TIMEOUT",""
"800701E3","-2147024413","2147942883","ERROR_DEVICE_HARDWARE_ERROR",""
"800701E7","-2147024409","2147942887","ERROR_INVALID_ADDRESS","Attempt to access invalid address."
"800701F4","-2147024396","2147942900","ERROR_USER_PROFILE_LOAD",""
"80070216","-2147024362","2147942934","ERROR_ARITHMETIC_OVERFLOW","Arithmetic result exceeded 32 bits."
"80070217","-2147024361","2147942935","ERROR_PIPE_CONNECTED","There is a process on other end of the pipe."
"80070218","-2147024360","2147942936","ERROR_PIPE_LISTENING","Waiting for a process to open the other end of the pipe."
"80070219","-2147024359","2147942937","ERROR_VERIFIER_STOP",""
"8007021A","-2147024358","2147942938","ERROR_ABIOS_ERROR",""
"8007021B","-2147024357","2147942939","ERROR_WX86_WARNING",""
"8007021C","-2147024356","2147942940","ERROR_WX86_ERROR",""
"8007021D","-2147024355","2147942941","ERROR_TIMER_NOT_CANCELED",""
"8007021E","-2147024354","2147942942","ERROR_UNWIND",""
"8007021F","-2147024353","2147942943","ERROR_BAD_STACK",""
"80070220","-2147024352","2147942944","ERROR_INVALID_UNWIND_TARGET",""
"80070221","-2147024351","2147942945","ERROR_INVALID_PORT_ATTRIBUTES",""
"80070222","-2147024350","2147942946","ERROR_PORT_MESSAGE_TOO_LONG",""
"80070223","-2147024349","2147942947","ERROR_INVALID_QUOTA_LOWER",""
"80070224","-2147024348","2147942948","ERROR_DEVICE_ALREADY_ATTACHED",""
"80070225","-2147024347","2147942949","ERROR_INSTRUCTION_MISALIGNMENT",""
"80070226","-2147024346","2147942950","ERROR_PROFILING_NOT_STARTED",""
"80070227","-2147024345","2147942951","ERROR_PROFILING_NOT_STOPPED",""
"80070228","-2147024344","2147942952","ERROR_COULD_NOT_INTERPRET",""
"80070229","-2147024343","2147942953","ERROR_PROFILING_AT_LIMIT",""
"8007022A","-2147024342","2147942954","ERROR_CANT_WAIT",""
"8007022B","-2147024341","2147942955","ERROR_CANT_TERMINATE_SELF",""
"8007022C","-2147024340","2147942956","ERROR_UNEXPECTED_MM_CREATE_ERR",""
"8007022D","-2147024339","2147942957","ERROR_UNEXPECTED_MM_MAP_ERROR",""
"8007022E","-2147024338","2147942958","ERROR_UNEXPECTED_MM_EXTEND_ERR",""
"8007022F","-2147024337","2147942959","ERROR_BAD_FUNCTION_TABLE",""
"80070230","-2147024336","2147942960","ERROR_NO_GUID_TRANSLATION",""
"80070231","-2147024335","2147942961","ERROR_INVALID_LDT_SIZE",""
"80070233","-2147024333","2147942963","ERROR_INVALID_LDT_OFFSET",""
"80070234","-2147024332","2147942964","ERROR_INVALID_LDT_DESCRIPTOR",""
"80070235","-2147024331","2147942965","ERROR_TOO_MANY_THREADS",""
"80070236","-2147024330","2147942966","ERROR_THREAD_NOT_IN_PROCESS",""
"80070237","-2147024329","2147942967","ERROR_PAGEFILE_QUOTA_EXCEEDED",""
"80070238","-2147024328","2147942968","ERROR_LOGON_SERVER_CONFLICT",""
"80070239","-2147024327","2147942969","ERROR_SYNCHRONIZATION_REQUIRED",""
"8007023A","-2147024326","2147942970","ERROR_NET_OPEN_FAILED",""
"8007023B","-2147024325","2147942971","ERROR_IO_PRIVILEGE_FAILED",""
"8007023C","-2147024324","2147942972","ERROR_CONTROL_C_EXIT",""
"8007023D","-2147024323","2147942973","ERROR_MISSING_SYSTEMFILE",""
"8007023E","-2147024322","2147942974","ERROR_UNHANDLED_EXCEPTION",""
"8007023F","-2147024321","2147942975","ERROR_APP_INIT_FAILURE",""
"80070240","-2147024320","2147942976","ERROR_PAGEFILE_CREATE_FAILED",""
"80070241","-2147024319","2147942977","ERROR_INVALID_IMAGE_HASH",""
"80070242","-2147024318","2147942978","ERROR_NO_PAGEFILE",""
"80070243","-2147024317","2147942979","ERROR_ILLEGAL_FLOAT_CONTEXT",""
"80070244","-2147024316","2147942980","ERROR_NO_EVENT_PAIR",""
"80070245","-2147024315","2147942981","ERROR_DOMAIN_CTRLR_CONFIG_ERROR",""
"80070246","-2147024314","2147942982","ERROR_ILLEGAL_CHARACTER",""
"80070247","-2147024313","2147942983","ERROR_UNDEFINED_CHARACTER",""
"80070248","-2147024312","2147942984","ERROR_FLOPPY_VOLUME",""
"80070249","-2147024311","2147942985","ERROR_BIOS_FAILED_TO_CONNECT_INTERRUPT",""
"8007024A","-2147024310","2147942986","ERROR_BACKUP_CONTROLLER",""
"8007024B","-2147024309","2147942987","ERROR_MUTANT_LIMIT_EXCEEDED",""
"8007024C","-2147024308","2147942988","ERROR_FS_DRIVER_REQUIRED",""
"8007024D","-2147024307","2147942989","ERROR_CANNOT_LOAD_REGISTRY_FILE",""
"8007024E","-2147024306","2147942990","ERROR_DEBUG_ATTACH_FAILED",""
"8007024F","-2147024305","2147942991","ERROR_SYSTEM_PROCESS_TERMINATED",""
"80070250","-2147024304","2147942992","ERROR_DATA_NOT_ACCEPTED",""
"80070251","-2147024303","2147942993","ERROR_VDM_HARD_ERROR",""
"80070252","-2147024302","2147942994","ERROR_DRIVER_CANCEL_TIMEOUT",""
"80070253","-2147024301","2147942995","ERROR_REPLY_MESSAGE_MISMATCH",""
"80070254","-2147024300","2147942996","ERROR_LOST_WRITEBEHIND_DATA",""
"80070255","-2147024299","2147942997","ERROR_CLIENT_SERVER_PARAMETERS_INVALID",""
"80070256","-2147024298","2147942998","ERROR_NOT_TINY_STREAM",""
"80070257","-2147024297","2147942999","ERROR_STACK_OVERFLOW_READ",""
"80070258","-2147024296","2147943000","ERROR_CONVERT_TO_LARGE",""
"80070259","-2147024295","2147943001","ERROR_FOUND_OUT_OF_SCOPE",""
"8007025A","-2147024294","2147943002","ERROR_ALLOCATE_BUCKET",""
"8007025B","-2147024293","2147943003","ERROR_MARSHALL_OVERFLOW",""
"8007025C","-2147024292","2147943004","ERROR_INVALID_VARIANT",""
"8007025D","-2147024291","2147943005","ERROR_BAD_COMPRESSION_BUFFER",""
"8007025E","-2147024290","2147943006","ERROR_AUDIT_FAILED",""
"8007025F","-2147024289","2147943007","ERROR_TIMER_RESOLUTION_NOT_SET",""
"80070260","-2147024288","2147943008","ERROR_INSUFFICIENT_LOGON_INFO",""
"80070261","-2147024287","2147943009","ERROR_BAD_DLL_ENTRYPOINT",""
"80070262","-2147024286","2147943010","ERROR_BAD_SERVICE_ENTRYPOINT",""
"80070263","-2147024285","2147943011","ERROR_IP_ADDRESS_CONFLICT1",""
"80070264","-2147024284","2147943012","ERROR_IP_ADDRESS_CONFLICT2",""
"80070265","-2147024283","2147943013","ERROR_REGISTRY_QUOTA_LIMIT",""
"80070266","-2147024282","2147943014","ERROR_NO_CALLBACK_ACTIVE",""
"80070267","-2147024281","2147943015","ERROR_PWD_TOO_SHORT",""
"80070268","-2147024280","2147943016","ERROR_PWD_TOO_RECENT",""
"80070269","-2147024279","2147943017","ERROR_PWD_HISTORY_CONFLICT",""
"8007026A","-2147024278","2147943018","ERROR_UNSUPPORTED_COMPRESSION",""
"8007026B","-2147024277","2147943019","ERROR_INVALID_HW_PROFILE",""
"8007026C","-2147024276","2147943020","ERROR_INVALID_PLUGPLAY_DEVICE_PATH",""
"8007026D","-2147024275","2147943021","ERROR_QUOTA_LIST_INCONSISTENT",""
"8007026E","-2147024274","2147943022","ERROR_EVALUATION_EXPIRATION",""
"8007026F","-2147024273","2147943023","ERROR_ILLEGAL_DLL_RELOCATION",""
"80070270","-2147024272","2147943024","ERROR_DLL_INIT_FAILED_LOGOFF",""
"80070271","-2147024271","2147943025","ERROR_VALIDATE_CONTINUE",""
"80070272","-2147024270","2147943026","ERROR_NO_MORE_MATCHES",""
"80070273","-2147024269","2147943027","ERROR_RANGE_LIST_CONFLICT",""
"80070274","-2147024268","2147943028","ERROR_SERVER_SID_MISMATCH",""
"80070275","-2147024267","2147943029","ERROR_CANT_ENABLE_DENY_ONLY",""
"80070276","-2147024266","2147943030","ERROR_FLOAT_MULTIPLE_FAULTS",""
"80070277","-2147024265","2147943031","ERROR_FLOAT_MULTIPLE_TRAPS",""
"80070278","-2147024264","2147943032","ERROR_NOINTERFACE",""
"80070279","-2147024263","2147943033","ERROR_DRIVER_FAILED_SLEEP",""
"8007027A","-2147024262","2147943034","ERROR_CORRUPT_SYSTEM_FILE",""
"8007027B","-2147024261","2147943035","ERROR_COMMITMENT_MINIMUM",""
"8007027C","-2147024260","2147943036","ERROR_PNP_RESTART_ENUMERATION",""
"8007027D","-2147024259","2147943037","ERROR_SYSTEM_IMAGE_BAD_SIGNATURE",""
"8007027E","-2147024258","2147943038","ERROR_PNP_REBOOT_REQUIRED",""
"8007027F","-2147024257","2147943039","ERROR_INSUFFICIENT_POWER",""
"80070280","-2147024256","2147943040","ERROR_MULTIPLE_FAULT_VIOLATION",""
"80070281","-2147024255","2147943041","ERROR_SYSTEM_SHUTDOWN",""
"80070282","-2147024254","2147943042","ERROR_PORT_NOT_SET",""
"80070283","-2147024253","2147943043","ERROR_DS_VERSION_CHECK_FAILURE",""
"80070284","-2147024252","2147943044","ERROR_RANGE_NOT_FOUND",""
"80070286","-2147024250","2147943046","ERROR_NOT_SAFE_MODE_DRIVER",""
"80070287","-2147024249","2147943047","ERROR_FAILED_DRIVER_ENTRY",""
"80070288","-2147024248","2147943048","ERROR_DEVICE_ENUMERATION_ERROR",""
"80070289","-2147024247","2147943049","ERROR_MOUNT_POINT_NOT_RESOLVED",""
"8007028A","-2147024246","2147943050","ERROR_INVALID_DEVICE_OBJECT_PARAMETER",""
"8007028B","-2147024245","2147943051","ERROR_MCA_OCCURED",""
"8007028C","-2147024244","2147943052","ERROR_DRIVER_DATABASE_ERROR",""
"8007028D","-2147024243","2147943053","ERROR_SYSTEM_HIVE_TOO_LARGE",""
"8007028E","-2147024242","2147943054","ERROR_DRIVER_FAILED_PRIOR_UNLOAD",""
"8007028F","-2147024241","2147943055","ERROR_VOLSNAP_PREPARE_HIBERNATE",""
"80070290","-2147024240","2147943056","ERROR_HIBERNATION_FAILURE",""
"80070291","-2147024239","2147943057","ERROR_PWD_TOO_LONG",""
"80070299","-2147024231","2147943065","ERROR_FILE_SYSTEM_LIMITATION",""
"8007029C","-2147024228","2147943068","ERROR_ASSERTION_FAILURE",""
"8007029D","-2147024227","2147943069","ERROR_ACPI_ERROR",""
"8007029E","-2147024226","2147943070","ERROR_WOW_ASSERTION",""
"8007029F","-2147024225","2147943071","ERROR_PNP_BAD_MPS_TABLE",""
"800702A0","-2147024224","2147943072","ERROR_PNP_TRANSLATION_FAILED",""
"800702A1","-2147024223","2147943073","ERROR_PNP_IRQ_TRANSLATION_FAILED",""
"800702A2","-2147024222","2147943074","ERROR_PNP_INVALID_ID",""
"800702A3","-2147024221","2147943075","ERROR_WAKE_SYSTEM_DEBUGGER",""
"800702A4","-2147024220","2147943076","ERROR_HANDLES_CLOSED",""
"800702A5","-2147024219","2147943077","ERROR_EXTRANEOUS_INFORMATION",""
"800702A6","-2147024218","2147943078","ERROR_RXACT_COMMIT_NECESSARY",""
"800702A7","-2147024217","2147943079","ERROR_MEDIA_CHECK",""
"800702A8","-2147024216","2147943080","ERROR_GUID_SUBSTITUTION_MADE",""
"800702A9","-2147024215","2147943081","ERROR_STOPPED_ON_SYMLINK",""
"800702AA","-2147024214","2147943082","ERROR_LONGJUMP",""
"800702AB","-2147024213","2147943083","ERROR_PLUGPLAY_QUERY_VETOED",""
"800702AC","-2147024212","2147943084","ERROR_UNWIND_CONSOLIDATE",""
"800702AD","-2147024211","2147943085","ERROR_REGISTRY_HIVE_RECOVERED",""
"800702AE","-2147024210","2147943086","ERROR_DLL_MIGHT_BE_INSECURE",""
"800702AF","-2147024209","2147943087","ERROR_DLL_MIGHT_BE_INCOMPATIBLE",""
"800702B0","-2147024208","2147943088","ERROR_DBG_EXCEPTION_NOT_HANDLED",""
"800702B1","-2147024207","2147943089","ERROR_DBG_REPLY_LATER",""
"800702B2","-2147024206","2147943090","ERROR_DBG_UNABLE_TO_PROVIDE_HANDLE",""
"800702B3","-2147024205","2147943091","ERROR_DBG_TERMINATE_THREAD",""
"800702B4","-2147024204","2147943092","ERROR_DBG_TERMINATE_PROCESS",""
"800702B5","-2147024203","2147943093","ERROR_DBG_CONTROL_C",""
"800702B6","-2147024202","2147943094","ERROR_DBG_PRINTEXCEPTION_C",""
"800702B7","-2147024201","2147943095","ERROR_DBG_RIPEXCEPTION",""
"800702B8","-2147024200","2147943096","ERROR_DBG_CONTROL_BREAK",""
"800702B9","-2147024199","2147943097","ERROR_DBG_COMMAND_EXCEPTION",""
"800702BA","-2147024198","2147943098","ERROR_OBJECT_NAME_EXISTS",""
"800702BB","-2147024197","2147943099","ERROR_THREAD_WAS_SUSPENDED",""
"800702BC","-2147024196","2147943100","ERROR_IMAGE_NOT_AT_BASE",""
"800702BD","-2147024195","2147943101","ERROR_RXACT_STATE_CREATED",""
"800702BE","-2147024194","2147943102","ERROR_SEGMENT_NOTIFICATION",""
"800702BF","-2147024193","2147943103","ERROR_BAD_CURRENT_DIRECTORY",""
"800702C0","-2147024192","2147943104","ERROR_FT_READ_RECOVERY_FROM_BACKUP",""
"800702C1","-2147024191","2147943105","ERROR_FT_WRITE_RECOVERY",""
"800702C2","-2147024190","2147943106","ERROR_IMAGE_MACHINE_TYPE_MISMATCH",""
"800702C3","-2147024189","2147943107","ERROR_RECEIVE_PARTIAL",""
"800702C4","-2147024188","2147943108","ERROR_RECEIVE_EXPEDITED",""
"800702C5","-2147024187","2147943109","ERROR_RECEIVE_PARTIAL_EXPEDITED",""
"800702C6","-2147024186","2147943110","ERROR_EVENT_DONE",""
"800702C7","-2147024185","2147943111","ERROR_EVENT_PENDING",""
"800702C8","-2147024184","2147943112","ERROR_CHECKING_FILE_SYSTEM",""
"800702C9","-2147024183","2147943113","ERROR_FATAL_APP_EXIT",""
"800702CA","-2147024182","2147943114","ERROR_PREDEFINED_HANDLE",""
"800702CB","-2147024181","2147943115","ERROR_WAS_UNLOCKED",""
"800702CC","-2147024180","2147943116","ERROR_SERVICE_NOTIFICATION",""
"800702CD","-2147024179","2147943117","ERROR_WAS_LOCKED",""
"800702CE","-2147024178","2147943118","ERROR_LOG_HARD_ERROR",""
"800702CF","-2147024177","2147943119","ERROR_ALREADY_WIN32",""
"800702D0","-2147024176","2147943120","ERROR_IMAGE_MACHINE_TYPE_MISMATCH_EXE",""
"800702D1","-2147024175","2147943121","ERROR_NO_YIELD_PERFORMED",""
"800702D2","-2147024174","2147943122","ERROR_TIMER_RESUME_IGNORED",""
"800702D3","-2147024173","2147943123","ERROR_ARBITRATION_UNHANDLED",""
"800702D4","-2147024172","2147943124","ERROR_CARDBUS_NOT_SUPPORTED",""
"800702D5","-2147024171","2147943125","ERROR_MP_PROCESSOR_MISMATCH",""
"800702D6","-2147024170","2147943126","ERROR_HIBERNATED",""
"800702D7","-2147024169","2147943127","ERROR_RESUME_HIBERNATION",""
"800702D8","-2147024168","2147943128","ERROR_FIRMWARE_UPDATED",""
"800702D9","-2147024167","2147943129","ERROR_DRIVERS_LEAKING_LOCKED_PAGES",""
"800702DA","-2147024166","2147943130","ERROR_WAKE_SYSTEM",""
"800702DB","-2147024165","2147943131","ERROR_WAIT_1",""
"800702DC","-2147024164","2147943132","ERROR_WAIT_2",""
"800702DD","-2147024163","2147943133","ERROR_WAIT_3",""
"800702DE","-2147024162","2147943134","ERROR_WAIT_63",""
"800702DF","-2147024161","2147943135","ERROR_ABANDONED_WAIT_0",""
"800702E0","-2147024160","2147943136","ERROR_ABANDONED_WAIT_63",""
"800702E1","-2147024159","2147943137","ERROR_USER_APC",""
"800702E2","-2147024158","2147943138","ERROR_KERNEL_APC",""
"800702E3","-2147024157","2147943139","ERROR_ALERTED",""
"800702E4","-2147024156","2147943140","ERROR_ELEVATION_REQUIRED",""
"800702E5","-2147024155","2147943141","ERROR_REPARSE",""
"800702E6","-2147024154","2147943142","ERROR_OPLOCK_BREAK_IN_PROGRESS",""
"800702E7","-2147024153","2147943143","ERROR_VOLUME_MOUNTED",""
"800702E8","-2147024152","2147943144","ERROR_RXACT_COMMITTED",""
"800702E9","-2147024151","2147943145","ERROR_NOTIFY_CLEANUP",""
"800702EA","-2147024150","2147943146","ERROR_PRIMARY_TRANSPORT_CONNECT_FAILED",""
"800702EB","-2147024149","2147943147","ERROR_PAGE_FAULT_TRANSITION",""
"800702EC","-2147024148","2147943148","ERROR_PAGE_FAULT_DEMAND_ZERO",""
"800702ED","-2147024147","2147943149","ERROR_PAGE_FAULT_COPY_ON_WRITE",""
"800702EE","-2147024146","2147943150","ERROR_PAGE_FAULT_GUARD_PAGE",""
"800702EF","-2147024145","2147943151","ERROR_PAGE_FAULT_PAGING_FILE",""
"800702F0","-2147024144","2147943152","ERROR_CACHE_PAGE_LOCKED",""
"800702F1","-2147024143","2147943153","ERROR_CRASH_DUMP",""
"800702F2","-2147024142","2147943154","ERROR_BUFFER_ALL_ZEROS",""
"800702F3","-2147024141","2147943155","ERROR_REPARSE_OBJECT",""
"800702F4","-2147024140","2147943156","ERROR_RESOURCE_REQUIREMENTS_CHANGED",""
"800702F5","-2147024139","2147943157","ERROR_TRANSLATION_COMPLETE",""
"800702F6","-2147024138","2147943158","ERROR_NOTHING_TO_TERMINATE",""
"800702F7","-2147024137","2147943159","ERROR_PROCESS_NOT_IN_JOB",""
"800702F8","-2147024136","2147943160","ERROR_PROCESS_IN_JOB",""
"800702F9","-2147024135","2147943161","ERROR_VOLSNAP_HIBERNATE_READY",""
"800702FA","-2147024134","2147943162","ERROR_FSFILTER_OP_COMPLETED_SUCCESSFULLY",""
"800702FB","-2147024133","2147943163","ERROR_INTERRUPT_VECTOR_ALREADY_CONNECTED",""
"800702FC","-2147024132","2147943164","ERROR_INTERRUPT_STILL_CONNECTED",""
"800702FD","-2147024131","2147943165","ERROR_WAIT_FOR_OPLOCK",""
"800702FE","-2147024130","2147943166","ERROR_DBG_EXCEPTION_HANDLED",""
"800702FF","-2147024129","2147943167","ERROR_DBG_CONTINUE",""
"80070300","-2147024128","2147943168","ERROR_CALLBACK_POP_STACK",""
"80070301","-2147024127","2147943169","ERROR_COMPRESSION_DISABLED",""
"80070302","-2147024126","2147943170","ERROR_CANTFETCHBACKWARDS",""
"80070303","-2147024125","2147943171","ERROR_CANTSCROLLBACKWARDS",""
"80070304","-2147024124","2147943172","ERROR_ROWSNOTRELEASED",""
"80070305","-2147024123","2147943173","ERROR_BAD_ACCESSOR_FLAGS",""
"80070306","-2147024122","2147943174","ERROR_ERRORS_ENCOUNTERED",""
"80070307","-2147024121","2147943175","ERROR_NOT_CAPABLE",""
"80070308","-2147024120","2147943176","ERROR_REQUEST_OUT_OF_SEQUENCE",""
"80070309","-2147024119","2147943177","ERROR_VERSION_PARSE_ERROR",""
"8007030A","-2147024118","2147943178","ERROR_BADSTARTPOSITION",""
